,Year,Province,Cities
57046,2014, Ontario ,Kitchener-Cambridge-Waterloo
57047,2015, Ontario ,Kitchener-Cambridge-Waterloo
57048,2016, Ontario ,Kitchener-Cambridge-Waterloo
57049,2017, Ontario ,Kitchener-Cambridge-Waterloo
57050,2018, Ontario ,Kitchener-Cambridge-Waterloo
57051,2019, Ontario ,Kitchener-Cambridge-Waterloo
57052,2020, Ontario ,Kitchener-Cambridge-Waterloo
57053,2021, Ontario ,Kitchener-Cambridge-Waterloo
57054,2022, Ontario ,Kitchener-Cambridge-Waterloo
57055,2023, Ontario ,Kitchener-Cambridge-Waterloo
57067,2013, Ontario ,Kitchener-Cambridge-Waterloo
57068,2014, Ontario ,Kitchener-Cambridge-Waterloo
57069,2015, Ontario ,Kitchener-Cambridge-Waterloo
57070,2016, Ontario ,Kitchener-Cambridge-Waterloo
57071,2017, Ontario ,Kitchener-Cambridge-Waterloo
57072,2018, Ontario ,Kitchener-Cambridge-Waterloo
57073,2019, Ontario ,Kitchener-Cambridge-Waterloo
57074,2020, Ontario ,Kitchener-Cambridge-Waterloo
57075,2021, Ontario ,Kitchener-Cambridge-Waterloo
57076,2022, Ontario ,Kitchener-Cambridge-Waterloo
57077,2023, Ontario ,Kitchener-Cambridge-Waterloo
57078,2013, Ontario ,Kitchener-Cambridge-Waterloo
57079,2014, Ontario ,Kitchener-Cambridge-Waterloo
57080,2015, Ontario ,Kitchener-Cambridge-Waterloo
57081,2016, Ontario ,Kitchener-Cambridge-Waterloo
57082,2017, Ontario ,Kitchener-Cambridge-Waterloo
57083,2018, Ontario ,Kitchener-Cambridge-Waterloo
57084,2019, Ontario ,Kitchener-Cambridge-Waterloo
57085,2020, Ontario ,Kitchener-Cambridge-Waterloo
57086,2021, Ontario ,Kitchener-Cambridge-Waterloo
57087,2022, Ontario ,Kitchener-Cambridge-Waterloo
57088,2023, Ontario ,Kitchener-Cambridge-Waterloo
57089,2013, Ontario ,Kitchener-Cambridge-Waterloo
57090,2014, Ontario ,Kitchener-Cambridge-Waterloo
57091,2015, Ontario ,Kitchener-Cambridge-Waterloo
57092,2016, Ontario ,Kitchener-Cambridge-Waterloo
57093,2017, Ontario ,Kitchener-Cambridge-Waterloo
57094,2018, Ontario ,Kitchener-Cambridge-Waterloo
57095,2019, Ontario ,Kitchener-Cambridge-Waterloo
57096,2020, Ontario ,Kitchener-Cambridge-Waterloo
57097,2021, Ontario ,Kitchener-Cambridge-Waterloo
57098,2022, Ontario ,Kitchener-Cambridge-Waterloo
57099,2023, Ontario ,Kitchener-Cambridge-Waterloo
57100,2013, Ontario ,Kitchener-Cambridge-Waterloo
57101,2014, Ontario ,Kitchener-Cambridge-Waterloo
57102,2015, Ontario ,Kitchener-Cambridge-Waterloo
57103,2016, Ontario ,Kitchener-Cambridge-Waterloo
57104,2017, Ontario ,Kitchener-Cambridge-Waterloo
57105,2018, Ontario ,Kitchener-Cambridge-Waterloo
57106,2019, Ontario ,Kitchener-Cambridge-Waterloo
57107,2020, Ontario ,Kitchener-Cambridge-Waterloo
57108,2021, Ontario ,Kitchener-Cambridge-Waterloo
57109,2022, Ontario ,Kitchener-Cambridge-Waterloo
57110,2023, Ontario ,Kitchener-Cambridge-Waterloo
57122,2013, Ontario ,Kitchener-Cambridge-Waterloo
57123,2014, Ontario ,Kitchener-Cambridge-Waterloo
57124,2015, Ontario ,Kitchener-Cambridge-Waterloo
57125,2016, Ontario ,Kitchener-Cambridge-Waterloo
57126,2017, Ontario ,Kitchener-Cambridge-Waterloo
57127,2018, Ontario ,Kitchener-Cambridge-Waterloo
57128,2019, Ontario ,Kitchener-Cambridge-Waterloo
57129,2020, Ontario ,Kitchener-Cambridge-Waterloo
57130,2021, Ontario ,Kitchener-Cambridge-Waterloo
57131,2022, Ontario ,Kitchener-Cambridge-Waterloo
57132,2023, Ontario ,Kitchener-Cambridge-Waterloo
57144,2013, Ontario ,Kitchener-Cambridge-Waterloo
57145,2014, Ontario ,Kitchener-Cambridge-Waterloo
57146,2015, Ontario ,Kitchener-Cambridge-Waterloo
57147,2016, Ontario ,Kitchener-Cambridge-Waterloo
57148,2017, Ontario ,Kitchener-Cambridge-Waterloo
57149,2018, Ontario ,Kitchener-Cambridge-Waterloo
57150,2019, Ontario ,Kitchener-Cambridge-Waterloo
57151,2020, Ontario ,Kitchener-Cambridge-Waterloo
57152,2021, Ontario ,Kitchener-Cambridge-Waterloo
57153,2022, Ontario ,Kitchener-Cambridge-Waterloo
57154,2023, Ontario ,Kitchener-Cambridge-Waterloo
57166,2013, Ontario ,Kitchener-Cambridge-Waterloo
57167,2014, Ontario ,Kitchener-Cambridge-Waterloo
57168,2015, Ontario ,Kitchener-Cambridge-Waterloo
57169,2016, Ontario ,Kitchener-Cambridge-Waterloo
57170,2017, Ontario ,Kitchener-Cambridge-Waterloo
57171,2018, Ontario ,Kitchener-Cambridge-Waterloo
57172,2019, Ontario ,Kitchener-Cambridge-Waterloo
57173,2020, Ontario ,Kitchener-Cambridge-Waterloo
57174,2021, Ontario ,Kitchener-Cambridge-Waterloo
57175,2022, Ontario ,Kitchener-Cambridge-Waterloo
57176,2023, Ontario ,Kitchener-Cambridge-Waterloo
57188,2013, Ontario ,Kitchener-Cambridge-Waterloo
57189,2014, Ontario ,Kitchener-Cambridge-Waterloo
57190,2015, Ontario ,Kitchener-Cambridge-Waterloo
57191,2016, Ontario ,Kitchener-Cambridge-Waterloo
57192,2017, Ontario ,Kitchener-Cambridge-Waterloo
57193,2018, Ontario ,Kitchener-Cambridge-Waterloo
57194,2019, Ontario ,Kitchener-Cambridge-Waterloo
57195,2020, Ontario ,Kitchener-Cambridge-Waterloo
57196,2021, Ontario ,Kitchener-Cambridge-Waterloo
57197,2022, Ontario ,Kitchener-Cambridge-Waterloo
57198,2023, Ontario ,Kitchener-Cambridge-Waterloo
57232,2013, Ontario ,Kitchener-Cambridge-Waterloo
57233,2014, Ontario ,Kitchener-Cambridge-Waterloo
57234,2015, Ontario ,Kitchener-Cambridge-Waterloo
57235,2016, Ontario ,Kitchener-Cambridge-Waterloo
57236,2017, Ontario ,Kitchener-Cambridge-Waterloo
57237,2018, Ontario ,Kitchener-Cambridge-Waterloo
57238,2019, Ontario ,Kitchener-Cambridge-Waterloo
57239,2020, Ontario ,Kitchener-Cambridge-Waterloo
57240,2021, Ontario ,Kitchener-Cambridge-Waterloo
57241,2022, Ontario ,Kitchener-Cambridge-Waterloo
57242,2023, Ontario ,Kitchener-Cambridge-Waterloo
57254,2013, Ontario ,Kitchener-Cambridge-Waterloo
57255,2014, Ontario ,Kitchener-Cambridge-Waterloo
57256,2015, Ontario ,Kitchener-Cambridge-Waterloo
57257,2016, Ontario ,Kitchener-Cambridge-Waterloo
57258,2017, Ontario ,Kitchener-Cambridge-Waterloo
57259,2018, Ontario ,Kitchener-Cambridge-Waterloo
57260,2019, Ontario ,Kitchener-Cambridge-Waterloo
57261,2020, Ontario ,Kitchener-Cambridge-Waterloo
57262,2021, Ontario ,Kitchener-Cambridge-Waterloo
57263,2022, Ontario ,Kitchener-Cambridge-Waterloo
57264,2023, Ontario ,Kitchener-Cambridge-Waterloo
57265,2013, Ontario ,Kitchener-Cambridge-Waterloo
57266,2014, Ontario ,Kitchener-Cambridge-Waterloo
57267,2015, Ontario ,Kitchener-Cambridge-Waterloo
57268,2016, Ontario ,Kitchener-Cambridge-Waterloo
57269,2017, Ontario ,Kitchener-Cambridge-Waterloo
57270,2018, Ontario ,Kitchener-Cambridge-Waterloo
57271,2019, Ontario ,Kitchener-Cambridge-Waterloo
57272,2020, Ontario ,Kitchener-Cambridge-Waterloo
57273,2021, Ontario ,Kitchener-Cambridge-Waterloo
57274,2022, Ontario ,Kitchener-Cambridge-Waterloo
57275,2023, Ontario ,Kitchener-Cambridge-Waterloo
57276,2013, Ontario ,Kitchener-Cambridge-Waterloo
57277,2014, Ontario ,Kitchener-Cambridge-Waterloo
57278,2015, Ontario ,Kitchener-Cambridge-Waterloo
57279,2016, Ontario ,Kitchener-Cambridge-Waterloo
57280,2017, Ontario ,Kitchener-Cambridge-Waterloo
57281,2018, Ontario ,Kitchener-Cambridge-Waterloo
57282,2019, Ontario ,Kitchener-Cambridge-Waterloo
57283,2020, Ontario ,Kitchener-Cambridge-Waterloo
57284,2021, Ontario ,Kitchener-Cambridge-Waterloo
57285,2022, Ontario ,Kitchener-Cambridge-Waterloo
57286,2023, Ontario ,Kitchener-Cambridge-Waterloo
57287,2013, Ontario ,Kitchener-Cambridge-Waterloo
57288,2014, Ontario ,Kitchener-Cambridge-Waterloo
57289,2015, Ontario ,Kitchener-Cambridge-Waterloo
57290,2016, Ontario ,Kitchener-Cambridge-Waterloo
57291,2017, Ontario ,Kitchener-Cambridge-Waterloo
57292,2018, Ontario ,Kitchener-Cambridge-Waterloo
57293,2019, Ontario ,Kitchener-Cambridge-Waterloo
57294,2020, Ontario ,Kitchener-Cambridge-Waterloo
57295,2021, Ontario ,Kitchener-Cambridge-Waterloo
57296,2022, Ontario ,Kitchener-Cambridge-Waterloo
57297,2023, Ontario ,Kitchener-Cambridge-Waterloo
57309,2013, Ontario ,Kitchener-Cambridge-Waterloo
57310,2014, Ontario ,Kitchener-Cambridge-Waterloo
57311,2015, Ontario ,Kitchener-Cambridge-Waterloo
57312,2016, Ontario ,Kitchener-Cambridge-Waterloo
57313,2017, Ontario ,Kitchener-Cambridge-Waterloo
57314,2018, Ontario ,Kitchener-Cambridge-Waterloo
57315,2019, Ontario ,Kitchener-Cambridge-Waterloo
57316,2020, Ontario ,Kitchener-Cambridge-Waterloo
57317,2021, Ontario ,Kitchener-Cambridge-Waterloo
57318,2022, Ontario ,Kitchener-Cambridge-Waterloo
57319,2023, Ontario ,Kitchener-Cambridge-Waterloo
57331,2013, Ontario ,Kitchener-Cambridge-Waterloo
57332,2014, Ontario ,Kitchener-Cambridge-Waterloo
57333,2015, Ontario ,Kitchener-Cambridge-Waterloo
57334,2016, Ontario ,Kitchener-Cambridge-Waterloo
57335,2017, Ontario ,Kitchener-Cambridge-Waterloo
57336,2018, Ontario ,Kitchener-Cambridge-Waterloo
57337,2019, Ontario ,Kitchener-Cambridge-Waterloo
57338,2020, Ontario ,Kitchener-Cambridge-Waterloo
57339,2021, Ontario ,Kitchener-Cambridge-Waterloo
57340,2022, Ontario ,Kitchener-Cambridge-Waterloo
57341,2023, Ontario ,Kitchener-Cambridge-Waterloo
57353,2013, Ontario ,Kitchener-Cambridge-Waterloo
57354,2014, Ontario ,Kitchener-Cambridge-Waterloo
57355,2015, Ontario ,Kitchener-Cambridge-Waterloo
57356,2016, Ontario ,Kitchener-Cambridge-Waterloo
57357,2017, Ontario ,Kitchener-Cambridge-Waterloo
57358,2018, Ontario ,Kitchener-Cambridge-Waterloo
57359,2019, Ontario ,Kitchener-Cambridge-Waterloo
57360,2020, Ontario ,Kitchener-Cambridge-Waterloo
57361,2021, Ontario ,Kitchener-Cambridge-Waterloo
57362,2022, Ontario ,Kitchener-Cambridge-Waterloo
57363,2023, Ontario ,Kitchener-Cambridge-Waterloo
57375,2013, Ontario ,Kitchener-Cambridge-Waterloo
57376,2014, Ontario ,Kitchener-Cambridge-Waterloo
57377,2015, Ontario ,Kitchener-Cambridge-Waterloo
57378,2016, Ontario ,Kitchener-Cambridge-Waterloo
57379,2017, Ontario ,Kitchener-Cambridge-Waterloo
57380,2018, Ontario ,Kitchener-Cambridge-Waterloo
57381,2019, Ontario ,Kitchener-Cambridge-Waterloo
57382,2020, Ontario ,Kitchener-Cambridge-Waterloo
57383,2021, Ontario ,Kitchener-Cambridge-Waterloo
57384,2022, Ontario ,Kitchener-Cambridge-Waterloo
57385,2023, Ontario ,Kitchener-Cambridge-Waterloo
57419,2013, Ontario ,Kitchener-Cambridge-Waterloo
57420,2014, Ontario ,Kitchener-Cambridge-Waterloo
57421,2015, Ontario ,Kitchener-Cambridge-Waterloo
57422,2016, Ontario ,Kitchener-Cambridge-Waterloo
57423,2017, Ontario ,Kitchener-Cambridge-Waterloo
57424,2018, Ontario ,Kitchener-Cambridge-Waterloo
57425,2019, Ontario ,Kitchener-Cambridge-Waterloo
57426,2020, Ontario ,Kitchener-Cambridge-Waterloo
57427,2021, Ontario ,Kitchener-Cambridge-Waterloo
57428,2022, Ontario ,Kitchener-Cambridge-Waterloo
57429,2023, Ontario ,Kitchener-Cambridge-Waterloo
57441,2013, Ontario ,Kitchener-Cambridge-Waterloo
57442,2014, Ontario ,Kitchener-Cambridge-Waterloo
57443,2015, Ontario ,Kitchener-Cambridge-Waterloo
57444,2016, Ontario ,Kitchener-Cambridge-Waterloo
57445,2017, Ontario ,Kitchener-Cambridge-Waterloo
57446,2018, Ontario ,Kitchener-Cambridge-Waterloo
57447,2019, Ontario ,Kitchener-Cambridge-Waterloo
57448,2020, Ontario ,Kitchener-Cambridge-Waterloo
57449,2021, Ontario ,Kitchener-Cambridge-Waterloo
57450,2022, Ontario ,Kitchener-Cambridge-Waterloo
57451,2023, Ontario ,Kitchener-Cambridge-Waterloo
57452,2013, Ontario ,Kitchener-Cambridge-Waterloo
57453,2014, Ontario ,Kitchener-Cambridge-Waterloo
57454,2015, Ontario ,Kitchener-Cambridge-Waterloo
57455,2016, Ontario ,Kitchener-Cambridge-Waterloo
57456,2017, Ontario ,Kitchener-Cambridge-Waterloo
57457,2018, Ontario ,Kitchener-Cambridge-Waterloo
57458,2019, Ontario ,Kitchener-Cambridge-Waterloo
57459,2020, Ontario ,Kitchener-Cambridge-Waterloo
57460,2021, Ontario ,Kitchener-Cambridge-Waterloo
57461,2022, Ontario ,Kitchener-Cambridge-Waterloo
57462,2023, Ontario ,Kitchener-Cambridge-Waterloo
57463,2013, Ontario ,Kitchener-Cambridge-Waterloo
57464,2014, Ontario ,Kitchener-Cambridge-Waterloo
57465,2015, Ontario ,Kitchener-Cambridge-Waterloo
57466,2016, Ontario ,Kitchener-Cambridge-Waterloo
57467,2017, Ontario ,Kitchener-Cambridge-Waterloo
57468,2018, Ontario ,Kitchener-Cambridge-Waterloo
57469,2019, Ontario ,Kitchener-Cambridge-Waterloo
57470,2020, Ontario ,Kitchener-Cambridge-Waterloo
57471,2021, Ontario ,Kitchener-Cambridge-Waterloo
57472,2022, Ontario ,Kitchener-Cambridge-Waterloo
57473,2023, Ontario ,Kitchener-Cambridge-Waterloo
57474,2013, Ontario ,Kitchener-Cambridge-Waterloo
57475,2014, Ontario ,Kitchener-Cambridge-Waterloo
57476,2015, Ontario ,Kitchener-Cambridge-Waterloo
57477,2016, Ontario ,Kitchener-Cambridge-Waterloo
57478,2017, Ontario ,Kitchener-Cambridge-Waterloo
57479,2018, Ontario ,Kitchener-Cambridge-Waterloo
57480,2019, Ontario ,Kitchener-Cambridge-Waterloo
57481,2020, Ontario ,Kitchener-Cambridge-Waterloo
57482,2021, Ontario ,Kitchener-Cambridge-Waterloo
57483,2022, Ontario ,Kitchener-Cambridge-Waterloo
57484,2023, Ontario ,Kitchener-Cambridge-Waterloo
57496,2013, Ontario ,Kitchener-Cambridge-Waterloo
57497,2014, Ontario ,Kitchener-Cambridge-Waterloo
57498,2015, Ontario ,Kitchener-Cambridge-Waterloo
57499,2016, Ontario ,Kitchener-Cambridge-Waterloo
57500,2017, Ontario ,Kitchener-Cambridge-Waterloo
57501,2018, Ontario ,Kitchener-Cambridge-Waterloo
57502,2019, Ontario ,Kitchener-Cambridge-Waterloo
57503,2020, Ontario ,Kitchener-Cambridge-Waterloo
57504,2021, Ontario ,Kitchener-Cambridge-Waterloo
57505,2022, Ontario ,Kitchener-Cambridge-Waterloo
57506,2023, Ontario ,Kitchener-Cambridge-Waterloo
57518,2013, Ontario ,Kitchener-Cambridge-Waterloo
57519,2014, Ontario ,Kitchener-Cambridge-Waterloo
57520,2015, Ontario ,Kitchener-Cambridge-Waterloo
57521,2016, Ontario ,Kitchener-Cambridge-Waterloo
57522,2017, Ontario ,Kitchener-Cambridge-Waterloo
57523,2018, Ontario ,Kitchener-Cambridge-Waterloo
57524,2019, Ontario ,Kitchener-Cambridge-Waterloo
57525,2020, Ontario ,Kitchener-Cambridge-Waterloo
57526,2021, Ontario ,Kitchener-Cambridge-Waterloo
57527,2022, Ontario ,Kitchener-Cambridge-Waterloo
57528,2023, Ontario ,Kitchener-Cambridge-Waterloo
57540,2013, Ontario ,Kitchener-Cambridge-Waterloo
57541,2014, Ontario ,Kitchener-Cambridge-Waterloo
57542,2015, Ontario ,Kitchener-Cambridge-Waterloo
57543,2016, Ontario ,Kitchener-Cambridge-Waterloo
57544,2017, Ontario ,Kitchener-Cambridge-Waterloo
57545,2018, Ontario ,Kitchener-Cambridge-Waterloo
57546,2019, Ontario ,Kitchener-Cambridge-Waterloo
57547,2020, Ontario ,Kitchener-Cambridge-Waterloo
57548,2021, Ontario ,Kitchener-Cambridge-Waterloo
57549,2022, Ontario ,Kitchener-Cambridge-Waterloo
57550,2023, Ontario ,Kitchener-Cambridge-Waterloo
58684,2013, Ontario ,Kitchener-Cambridge-Waterloo
58685,2014, Ontario ,Kitchener-Cambridge-Waterloo
58686,2015, Ontario ,Kitchener-Cambridge-Waterloo
58687,2016, Ontario ,Kitchener-Cambridge-Waterloo
58688,2017, Ontario ,Kitchener-Cambridge-Waterloo
58689,2018, Ontario ,Kitchener-Cambridge-Waterloo
58690,2019, Ontario ,Kitchener-Cambridge-Waterloo
58691,2020, Ontario ,Kitchener-Cambridge-Waterloo
58692,2021, Ontario ,Kitchener-Cambridge-Waterloo
58693,2022, Ontario ,Kitchener-Cambridge-Waterloo
58694,2023, Ontario ,Kitchener-Cambridge-Waterloo
58728,2013, Ontario ,Kitchener-Cambridge-Waterloo
58729,2014, Ontario ,Kitchener-Cambridge-Waterloo
58730,2015, Ontario ,Kitchener-Cambridge-Waterloo
58731,2016, Ontario ,Kitchener-Cambridge-Waterloo
58732,2017, Ontario ,Kitchener-Cambridge-Waterloo
58733,2018, Ontario ,Kitchener-Cambridge-Waterloo
58734,2019, Ontario ,Kitchener-Cambridge-Waterloo
58735,2020, Ontario ,Kitchener-Cambridge-Waterloo
58736,2021, Ontario ,Kitchener-Cambridge-Waterloo
58737,2022, Ontario ,Kitchener-Cambridge-Waterloo
58738,2023, Ontario ,Kitchener-Cambridge-Waterloo
58750,2013, Ontario ,Kitchener-Cambridge-Waterloo
58751,2014, Ontario ,Kitchener-Cambridge-Waterloo
58752,2015, Ontario ,Kitchener-Cambridge-Waterloo
58753,2016, Ontario ,Kitchener-Cambridge-Waterloo
58754,2017, Ontario ,Kitchener-Cambridge-Waterloo
58755,2018, Ontario ,Kitchener-Cambridge-Waterloo
58756,2019, Ontario ,Kitchener-Cambridge-Waterloo
58757,2020, Ontario ,Kitchener-Cambridge-Waterloo
58758,2021, Ontario ,Kitchener-Cambridge-Waterloo
58759,2022, Ontario ,Kitchener-Cambridge-Waterloo
58760,2023, Ontario ,Kitchener-Cambridge-Waterloo
58761,2013, Ontario ,Kitchener-Cambridge-Waterloo
58762,2014, Ontario ,Kitchener-Cambridge-Waterloo
58763,2015, Ontario ,Kitchener-Cambridge-Waterloo
58764,2016, Ontario ,Kitchener-Cambridge-Waterloo
58765,2017, Ontario ,Kitchener-Cambridge-Waterloo
58766,2018, Ontario ,Kitchener-Cambridge-Waterloo
58767,2019, Ontario ,Kitchener-Cambridge-Waterloo
58768,2020, Ontario ,Kitchener-Cambridge-Waterloo
58769,2021, Ontario ,Kitchener-Cambridge-Waterloo
58770,2022, Ontario ,Kitchener-Cambridge-Waterloo
58771,2023, Ontario ,Kitchener-Cambridge-Waterloo
58772,2013, Ontario ,Kitchener-Cambridge-Waterloo
58773,2014, Ontario ,Kitchener-Cambridge-Waterloo
58774,2015, Ontario ,Kitchener-Cambridge-Waterloo
58775,2016, Ontario ,Kitchener-Cambridge-Waterloo
58776,2017, Ontario ,Kitchener-Cambridge-Waterloo
58777,2018, Ontario ,Kitchener-Cambridge-Waterloo
58778,2019, Ontario ,Kitchener-Cambridge-Waterloo
58779,2020, Ontario ,Kitchener-Cambridge-Waterloo
58780,2021, Ontario ,Kitchener-Cambridge-Waterloo
58781,2022, Ontario ,Kitchener-Cambridge-Waterloo
58782,2023, Ontario ,Kitchener-Cambridge-Waterloo
58783,2013, Ontario ,Kitchener-Cambridge-Waterloo
58784,2014, Ontario ,Kitchener-Cambridge-Waterloo
58785,2015, Ontario ,Kitchener-Cambridge-Waterloo
58786,2016, Ontario ,Kitchener-Cambridge-Waterloo
58787,2017, Ontario ,Kitchener-Cambridge-Waterloo
58788,2018, Ontario ,Kitchener-Cambridge-Waterloo
58789,2019, Ontario ,Kitchener-Cambridge-Waterloo
58790,2020, Ontario ,Kitchener-Cambridge-Waterloo
58791,2021, Ontario ,Kitchener-Cambridge-Waterloo
58792,2022, Ontario ,Kitchener-Cambridge-Waterloo
58793,2023, Ontario ,Kitchener-Cambridge-Waterloo
58805,2013, Ontario ,Kitchener-Cambridge-Waterloo
58806,2014, Ontario ,Kitchener-Cambridge-Waterloo
58807,2015, Ontario ,Kitchener-Cambridge-Waterloo
58808,2016, Ontario ,Kitchener-Cambridge-Waterloo
58809,2017, Ontario ,Kitchener-Cambridge-Waterloo
58810,2018, Ontario ,Kitchener-Cambridge-Waterloo
58811,2019, Ontario ,Kitchener-Cambridge-Waterloo
58812,2020, Ontario ,Kitchener-Cambridge-Waterloo
58813,2021, Ontario ,Kitchener-Cambridge-Waterloo
58814,2022, Ontario ,Kitchener-Cambridge-Waterloo
58815,2023, Ontario ,Kitchener-Cambridge-Waterloo
58827,2013, Ontario ,Kitchener-Cambridge-Waterloo
58828,2014, Ontario ,Kitchener-Cambridge-Waterloo
58829,2015, Ontario ,Kitchener-Cambridge-Waterloo
58830,2016, Ontario ,Kitchener-Cambridge-Waterloo
58831,2017, Ontario ,Kitchener-Cambridge-Waterloo
58832,2018, Ontario ,Kitchener-Cambridge-Waterloo
58833,2019, Ontario ,Kitchener-Cambridge-Waterloo
58834,2020, Ontario ,Kitchener-Cambridge-Waterloo
58835,2021, Ontario ,Kitchener-Cambridge-Waterloo
58836,2022, Ontario ,Kitchener-Cambridge-Waterloo
58837,2023, Ontario ,Kitchener-Cambridge-Waterloo
58849,2013, Ontario ,Kitchener-Cambridge-Waterloo
58850,2014, Ontario ,Kitchener-Cambridge-Waterloo
58851,2015, Ontario ,Kitchener-Cambridge-Waterloo
58852,2016, Ontario ,Kitchener-Cambridge-Waterloo
58853,2017, Ontario ,Kitchener-Cambridge-Waterloo
58854,2018, Ontario ,Kitchener-Cambridge-Waterloo
58855,2019, Ontario ,Kitchener-Cambridge-Waterloo
58856,2020, Ontario ,Kitchener-Cambridge-Waterloo
58857,2021, Ontario ,Kitchener-Cambridge-Waterloo
58858,2022, Ontario ,Kitchener-Cambridge-Waterloo
58859,2023, Ontario ,Kitchener-Cambridge-Waterloo
58871,2013, Ontario ,Kitchener-Cambridge-Waterloo
58872,2014, Ontario ,Kitchener-Cambridge-Waterloo
58873,2015, Ontario ,Kitchener-Cambridge-Waterloo
58874,2016, Ontario ,Kitchener-Cambridge-Waterloo
58875,2017, Ontario ,Kitchener-Cambridge-Waterloo
58876,2018, Ontario ,Kitchener-Cambridge-Waterloo
58877,2019, Ontario ,Kitchener-Cambridge-Waterloo
58878,2020, Ontario ,Kitchener-Cambridge-Waterloo
58879,2021, Ontario ,Kitchener-Cambridge-Waterloo
58880,2022, Ontario ,Kitchener-Cambridge-Waterloo
58881,2023, Ontario ,Kitchener-Cambridge-Waterloo
58915,2013, Ontario ,Kitchener-Cambridge-Waterloo
58916,2014, Ontario ,Kitchener-Cambridge-Waterloo
58917,2015, Ontario ,Kitchener-Cambridge-Waterloo
58918,2016, Ontario ,Kitchener-Cambridge-Waterloo
58919,2017, Ontario ,Kitchener-Cambridge-Waterloo
58920,2018, Ontario ,Kitchener-Cambridge-Waterloo
58921,2019, Ontario ,Kitchener-Cambridge-Waterloo
58922,2020, Ontario ,Kitchener-Cambridge-Waterloo
58923,2021, Ontario ,Kitchener-Cambridge-Waterloo
58924,2022, Ontario ,Kitchener-Cambridge-Waterloo
58925,2023, Ontario ,Kitchener-Cambridge-Waterloo
58937,2013, Ontario ,Kitchener-Cambridge-Waterloo
58938,2014, Ontario ,Kitchener-Cambridge-Waterloo
58939,2015, Ontario ,Kitchener-Cambridge-Waterloo
58940,2016, Ontario ,Kitchener-Cambridge-Waterloo
58941,2017, Ontario ,Kitchener-Cambridge-Waterloo
58942,2018, Ontario ,Kitchener-Cambridge-Waterloo
58943,2019, Ontario ,Kitchener-Cambridge-Waterloo
58944,2020, Ontario ,Kitchener-Cambridge-Waterloo
58945,2021, Ontario ,Kitchener-Cambridge-Waterloo
58946,2022, Ontario ,Kitchener-Cambridge-Waterloo
58947,2023, Ontario ,Kitchener-Cambridge-Waterloo
58948,2013, Ontario ,Kitchener-Cambridge-Waterloo
58949,2014, Ontario ,Kitchener-Cambridge-Waterloo
58950,2015, Ontario ,Kitchener-Cambridge-Waterloo
58951,2016, Ontario ,Kitchener-Cambridge-Waterloo
58952,2017, Ontario ,Kitchener-Cambridge-Waterloo
58953,2018, Ontario ,Kitchener-Cambridge-Waterloo
58954,2019, Ontario ,Kitchener-Cambridge-Waterloo
58955,2020, Ontario ,Kitchener-Cambridge-Waterloo
58956,2021, Ontario ,Kitchener-Cambridge-Waterloo
58957,2022, Ontario ,Kitchener-Cambridge-Waterloo
58958,2023, Ontario ,Kitchener-Cambridge-Waterloo
58959,2013, Ontario ,Kitchener-Cambridge-Waterloo
58960,2014, Ontario ,Kitchener-Cambridge-Waterloo
58961,2015, Ontario ,Kitchener-Cambridge-Waterloo
58962,2016, Ontario ,Kitchener-Cambridge-Waterloo
58963,2017, Ontario ,Kitchener-Cambridge-Waterloo
58964,2018, Ontario ,Kitchener-Cambridge-Waterloo
58965,2019, Ontario ,Kitchener-Cambridge-Waterloo
58966,2020, Ontario ,Kitchener-Cambridge-Waterloo
58967,2021, Ontario ,Kitchener-Cambridge-Waterloo
58968,2022, Ontario ,Kitchener-Cambridge-Waterloo
58969,2023, Ontario ,Kitchener-Cambridge-Waterloo
58970,2013, Ontario ,Kitchener-Cambridge-Waterloo
58971,2014, Ontario ,Kitchener-Cambridge-Waterloo
58972,2015, Ontario ,Kitchener-Cambridge-Waterloo
58973,2016, Ontario ,Kitchener-Cambridge-Waterloo
58974,2017, Ontario ,Kitchener-Cambridge-Waterloo
58975,2018, Ontario ,Kitchener-Cambridge-Waterloo
58976,2019, Ontario ,Kitchener-Cambridge-Waterloo
58977,2020, Ontario ,Kitchener-Cambridge-Waterloo
58978,2021, Ontario ,Kitchener-Cambridge-Waterloo
58979,2022, Ontario ,Kitchener-Cambridge-Waterloo
58980,2023, Ontario ,Kitchener-Cambridge-Waterloo
58992,2013, Ontario ,Kitchener-Cambridge-Waterloo
58993,2014, Ontario ,Kitchener-Cambridge-Waterloo
58994,2015, Ontario ,Kitchener-Cambridge-Waterloo
58995,2016, Ontario ,Kitchener-Cambridge-Waterloo
58996,2017, Ontario ,Kitchener-Cambridge-Waterloo
58997,2018, Ontario ,Kitchener-Cambridge-Waterloo
58998,2019, Ontario ,Kitchener-Cambridge-Waterloo
58999,2020, Ontario ,Kitchener-Cambridge-Waterloo
59000,2021, Ontario ,Kitchener-Cambridge-Waterloo
59001,2022, Ontario ,Kitchener-Cambridge-Waterloo
59002,2023, Ontario ,Kitchener-Cambridge-Waterloo
59014,2013, Ontario ,Kitchener-Cambridge-Waterloo
59015,2014, Ontario ,Kitchener-Cambridge-Waterloo
59016,2015, Ontario ,Kitchener-Cambridge-Waterloo
59017,2016, Ontario ,Kitchener-Cambridge-Waterloo
59018,2017, Ontario ,Kitchener-Cambridge-Waterloo
